Age_range,Metrics,Value
0-90,stars,0
0-90,size,8130
0-90,AutoML-functions,2
0-90,unique-functions,1
0-90,AutoML-tools,1
91-180,commits,2
91-180,stars,5
91-180,size,2730
91-180,AutoML-functions,2
91-180,unique-functions,1
91-180,AutoML-tools,1
>720,commits,3398
>720,stars,99
>720,size,35992
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
91-180,commits,10
91-180,stars,22
91-180,size,6714
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
>720,commits,2069
>720,stars,10
>720,size,88175
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
271-360,commits,39
271-360,stars,0
271-360,size,24728
271-360,AutoML-functions,1
271-360,unique-functions,1
271-360,AutoML-tools,1
91-180,commits,10
91-180,stars,0
91-180,size,6668
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
0-90,commits,10
0-90,stars,0
0-90,size,14129
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,13
0-90,stars,0
0-90,size,1216233
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,44
0-90,stars,0
0-90,size,95
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,11
0-90,stars,0
0-90,size,4058
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
>720,commits,107
>720,stars,61
>720,size,66886
>720,AutoML-functions,1
>720,unique-functions,1
>720,AutoML-tools,1
>720,commits,57
>720,stars,3
>720,size,657
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
91-180,commits,41
91-180,stars,0
91-180,size,16265
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
0-90,commits,59
0-90,stars,0
0-90,size,14243
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,7
0-90,stars,0
0-90,size,43
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,40
0-90,stars,2
0-90,size,5769
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
91-180,commits,69
91-180,stars,2
91-180,size,494434
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
181-270,commits,7
181-270,stars,0
181-270,size,1705
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
541-630,commits,476
541-630,stars,3
541-630,size,270126
541-630,AutoML-functions,1
541-630,unique-functions,1
541-630,AutoML-tools,1
0-90,commits,148
0-90,stars,0
0-90,size,59938
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
271-360,commits,18
271-360,stars,6
271-360,size,41579
271-360,AutoML-functions,1
271-360,unique-functions,1
271-360,AutoML-tools,1
0-90,commits,3
0-90,stars,0
0-90,size,9763
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,709
0-90,stars,8
0-90,size,101677
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
91-180,commits,32
91-180,stars,2
91-180,size,259
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
0-90,commits,12
0-90,stars,1
0-90,size,136
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,1
0-90,stars,1
0-90,size,260
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
91-180,commits,103
91-180,stars,0
91-180,size,354490
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
0-90,commits,2
0-90,stars,4
0-90,size,232339
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
631-720,commits,9
631-720,stars,13
631-720,size,500
631-720,AutoML-functions,0
631-720,unique-functions,0
631-720,AutoML-tools,0
91-180,commits,189
91-180,stars,3
91-180,size,527
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
0-90,commits,886
0-90,stars,0
0-90,size,115261
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,1150
0-90,stars,0
0-90,size,151125
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
91-180,commits,23
91-180,stars,0
91-180,size,128599
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
0-90,commits,976
0-90,stars,0
0-90,size,132853
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,984
0-90,stars,0
0-90,size,132872
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
91-180,commits,80
91-180,stars,2
91-180,size,107485
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
0-90,commits,2
0-90,stars,0
0-90,size,39
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
181-270,commits,25
181-270,stars,1
181-270,size,119371
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
0-90,commits,1
0-90,stars,0
0-90,size,104563
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
91-180,commits,37
91-180,stars,7
91-180,size,124283
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
0-90,commits,1
0-90,stars,0
0-90,size,115154
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
451-540,commits,54
451-540,stars,0
451-540,size,92495
451-540,AutoML-functions,1
451-540,unique-functions,1
451-540,AutoML-tools,1
181-270,commits,24
181-270,stars,0
181-270,size,1842
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
271-360,commits,2339
271-360,stars,0
271-360,size,18257
271-360,AutoML-functions,0
271-360,unique-functions,0
271-360,AutoML-tools,0
0-90,commits,6
0-90,stars,0
0-90,size,1130
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,32
0-90,stars,0
0-90,size,5068
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,5
0-90,stars,0
0-90,size,9011
0-90,AutoML-functions,3
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,18
0-90,stars,0
0-90,size,149149
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,1209
0-90,stars,0
0-90,size,113487
0-90,AutoML-functions,12
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,1204
0-90,stars,0
0-90,size,113483
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,1219
0-90,stars,0
0-90,size,27290
0-90,AutoML-functions,7
0-90,unique-functions,1
0-90,AutoML-tools,1
541-630,commits,1220
541-630,stars,2118
541-630,size,28288
541-630,AutoML-functions,4
541-630,unique-functions,1
541-630,AutoML-tools,1
>720,commits,547
>720,stars,2
>720,size,84312
>720,AutoML-functions,1
>720,unique-functions,1
>720,AutoML-tools,1
0-90,commits,17
0-90,stars,0
0-90,size,24629
0-90,AutoML-functions,3
0-90,unique-functions,1
0-90,AutoML-tools,1
451-540,commits,1364
451-540,stars,1924
451-540,size,190626
451-540,AutoML-functions,0
451-540,unique-functions,0
451-540,AutoML-tools,0
0-90,commits,4
0-90,stars,0
0-90,size,1378
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,3
0-90,stars,0
0-90,size,102745
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
361-450,commits,19
361-450,stars,1
361-450,size,462606
361-450,AutoML-functions,0
361-450,unique-functions,0
361-450,AutoML-tools,0
0-90,commits,4
0-90,stars,0
0-90,size,2247
0-90,AutoML-functions,3
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,3
0-90,stars,0
0-90,size,9802
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
>720,commits,76
>720,stars,35
>720,size,364680
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
0-90,commits,2
0-90,stars,0
0-90,size,2
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
181-270,commits,6
181-270,stars,0
181-270,size,39720
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
0-90,commits,17
0-90,stars,0
0-90,size,620
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,22
0-90,stars,0
0-90,size,27563
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,5
0-90,stars,0
0-90,size,4
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,2
0-90,stars,0
0-90,size,4636
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,2
0-90,stars,35
0-90,size,73
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,2
0-90,stars,0
0-90,size,4080
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,25
0-90,stars,1
0-90,size,62977
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,103
0-90,stars,0
0-90,size,1398
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,51
0-90,stars,0
0-90,size,878
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
181-270,commits,225
181-270,stars,9
181-270,size,571513
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
0-90,commits,5
0-90,stars,0
0-90,size,37057
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
181-270,commits,319
181-270,stars,0
181-270,size,216866
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
0-90,commits,3
0-90,stars,0
0-90,size,89916
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,1
0-90,stars,0
0-90,size,491
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,15
0-90,stars,3
0-90,size,13256
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,8
0-90,stars,0
0-90,size,278
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
181-270,commits,32
181-270,stars,0
181-270,size,19995
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
0-90,commits,9
0-90,stars,0
0-90,size,162
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
91-180,commits,30
91-180,stars,1
91-180,size,1107110
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
0-90,commits,3
0-90,stars,1
0-90,size,7
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,4
0-90,stars,0
0-90,size,1378
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
271-360,commits,19
271-360,stars,1
271-360,size,71511
271-360,AutoML-functions,0
271-360,unique-functions,0
271-360,AutoML-tools,0
0-90,commits,11
0-90,stars,0
0-90,size,15684
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,10
0-90,stars,0
0-90,size,91796
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,29
0-90,stars,0
0-90,size,14899
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,7
0-90,stars,0
0-90,size,15027
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
181-270,commits,144
181-270,stars,2
181-270,size,9325
181-270,AutoML-functions,8
181-270,unique-functions,1
181-270,AutoML-tools,1
0-90,commits,1
0-90,stars,0
0-90,size,3845
0-90,AutoML-functions,157
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,209
0-90,stars,0
0-90,size,83988
0-90,AutoML-functions,88
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,5
0-90,stars,0
0-90,size,621
0-90,AutoML-functions,214
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,1
0-90,stars,0
0-90,size,2
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,6
0-90,stars,0
0-90,size,11189
0-90,AutoML-functions,3
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,7
0-90,stars,0
0-90,size,3123
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
91-180,commits,2
91-180,stars,0
91-180,size,5
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
0-90,commits,1
0-90,stars,0
0-90,size,11
0-90,AutoML-functions,3
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,2
0-90,stars,0
0-90,size,13564
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,2
0-90,stars,0
0-90,size,3
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
181-270,commits,2
181-270,stars,1
181-270,size,41
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
0-90,commits,38
0-90,stars,0
0-90,size,3249
0-90,AutoML-functions,4
0-90,unique-functions,1
0-90,AutoML-tools,1
181-270,commits,49
181-270,stars,4
181-270,size,2004
181-270,AutoML-functions,2
181-270,unique-functions,1
181-270,AutoML-tools,1
0-90,commits,15
0-90,stars,3
0-90,size,8803
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,125
0-90,stars,0
0-90,size,7850
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,3
0-90,stars,1
0-90,size,716
0-90,AutoML-functions,2
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,500
0-90,stars,0
0-90,size,9991
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
271-360,commits,37
271-360,stars,0
271-360,size,1791
271-360,AutoML-functions,1
271-360,unique-functions,1
271-360,AutoML-tools,1
181-270,commits,183
181-270,stars,8
181-270,size,94657
181-270,AutoML-functions,2
181-270,unique-functions,1
181-270,AutoML-tools,1
>720,commits,1030
>720,stars,2140
>720,size,28527
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
181-270,commits,19
181-270,stars,19
181-270,size,239
181-270,AutoML-functions,2
181-270,unique-functions,1
181-270,AutoML-tools,1
0-90,commits,4
0-90,stars,0
0-90,size,3057
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,3
0-90,stars,2
0-90,size,400
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
451-540,commits,46
451-540,stars,252
451-540,size,69503
451-540,AutoML-functions,0
451-540,unique-functions,0
451-540,AutoML-tools,0
>720,commits,1287
>720,stars,453
>720,size,1885
>720,AutoML-functions,1
>720,unique-functions,1
>720,AutoML-tools,1
91-180,commits,42
91-180,stars,3
91-180,size,61
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
361-450,commits,213
361-450,stars,0
361-450,size,60274
361-450,AutoML-functions,0
361-450,unique-functions,0
361-450,AutoML-tools,0
91-180,commits,15
91-180,stars,0
91-180,size,7460
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
0-90,commits,13
0-90,stars,0
0-90,size,12611
0-90,AutoML-functions,2
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,1213
0-90,stars,1
0-90,size,1708
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,1252
0-90,stars,1
0-90,size,1681
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,1
0-90,stars,0
0-90,size,16
0-90,AutoML-functions,2
0-90,unique-functions,1
0-90,AutoML-tools,1
181-270,commits,13
181-270,stars,0
181-270,size,38
181-270,AutoML-functions,2
181-270,unique-functions,1
181-270,AutoML-tools,1
>720,commits,4436
>720,stars,66
>720,size,67607
>720,AutoML-functions,8
>720,unique-functions,2
>720,AutoML-tools,2
0-90,commits,3
0-90,stars,0
0-90,size,1507
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,4
0-90,stars,1
0-90,size,18343
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,13
0-90,stars,0
0-90,size,2378
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,2
0-90,stars,0
0-90,size,230
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
181-270,commits,1696
181-270,stars,0
181-270,size,2497
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
181-270,commits,326
181-270,stars,84
181-270,size,19438
181-270,AutoML-functions,3
181-270,unique-functions,2
181-270,AutoML-tools,2
0-90,commits,1
0-90,stars,0
0-90,size,16
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,2
0-90,stars,0
0-90,size,3300
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,46
0-90,stars,0
0-90,size,81536
0-90,AutoML-functions,6
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,4
0-90,stars,0
0-90,size,1668
0-90,AutoML-functions,3
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,34
0-90,stars,0
0-90,size,83
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,1
0-90,stars,0
0-90,size,173051
0-90,AutoML-functions,5
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,3
0-90,stars,2
0-90,size,333
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
271-360,commits,20
271-360,stars,5
271-360,size,69
271-360,AutoML-functions,2
271-360,unique-functions,1
271-360,AutoML-tools,1
0-90,commits,10
0-90,stars,0
0-90,size,4003
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
91-180,commits,15
91-180,stars,0
91-180,size,944
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
0-90,commits,2
0-90,stars,1
0-90,size,2318
0-90,AutoML-functions,2
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,10
0-90,stars,0
0-90,size,76626
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,3
0-90,stars,0
0-90,size,338
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,10
0-90,stars,0
0-90,size,352
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
541-630,commits,29
541-630,stars,0
541-630,size,21824
541-630,AutoML-functions,2
541-630,unique-functions,1
541-630,AutoML-tools,1
>720,commits,315
>720,stars,34
>720,size,119439
>720,AutoML-functions,1
>720,unique-functions,1
>720,AutoML-tools,1
0-90,commits,2
0-90,stars,0
0-90,size,72
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
91-180,commits,130
91-180,stars,2
91-180,size,72
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
>720,commits,101
>720,stars,10
>720,size,3562
>720,AutoML-functions,1
>720,unique-functions,1
>720,AutoML-tools,1
0-90,commits,2
0-90,stars,1
0-90,size,878
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,73
0-90,stars,0
0-90,size,2399
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,31
0-90,stars,0
0-90,size,218
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
>720,commits,211
>720,stars,1
>720,size,356
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
0-90,commits,2
0-90,stars,0
0-90,size,2
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
181-270,commits,135
181-270,stars,2
181-270,size,43044
181-270,AutoML-functions,1
181-270,unique-functions,1
181-270,AutoML-tools,1
>720,commits,1
>720,stars,8
>720,size,3398
>720,AutoML-functions,1
>720,unique-functions,1
>720,AutoML-tools,1
0-90,commits,72
0-90,stars,3
0-90,size,177882
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,16
0-90,stars,0
0-90,size,83
0-90,AutoML-functions,2
0-90,unique-functions,1
0-90,AutoML-tools,1
181-270,commits,936
181-270,stars,1
181-270,size,285877
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
631-720,commits,24
631-720,stars,0
631-720,size,1604
631-720,AutoML-functions,1
631-720,unique-functions,1
631-720,AutoML-tools,1
>720,commits,313
>720,stars,5
>720,size,514787
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
271-360,commits,126
271-360,stars,0
271-360,size,119175
271-360,AutoML-functions,0
271-360,unique-functions,0
271-360,AutoML-tools,0
0-90,commits,214
0-90,stars,13
0-90,size,1370447
0-90,AutoML-functions,6
0-90,unique-functions,1
0-90,AutoML-tools,1
>720,commits,153
>720,stars,9
>720,size,1838
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
0-90,commits,60
0-90,stars,0
0-90,size,8218
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
451-540,commits,41
451-540,stars,1
451-540,size,1369423
451-540,AutoML-functions,0
451-540,unique-functions,0
451-540,AutoML-tools,0
>720,commits,733
>720,stars,1
>720,size,30708
>720,AutoML-functions,1
>720,unique-functions,1
>720,AutoML-tools,1
451-540,commits,179
451-540,stars,0
451-540,size,2695
451-540,AutoML-functions,0
451-540,unique-functions,0
451-540,AutoML-tools,0
0-90,commits,63
0-90,stars,2
0-90,size,18427
0-90,AutoML-functions,15
0-90,unique-functions,1
0-90,AutoML-tools,1
181-270,commits,65
181-270,stars,0
181-270,size,135
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
91-180,commits,3
91-180,stars,1
91-180,size,4173
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
0-90,commits,22
0-90,stars,0
0-90,size,7821
0-90,AutoML-functions,2
0-90,unique-functions,1
0-90,AutoML-tools,1
181-270,commits,140
181-270,stars,38
181-270,size,2287
181-270,AutoML-functions,1
181-270,unique-functions,1
181-270,AutoML-tools,1
451-540,commits,65
451-540,stars,2
451-540,size,114870
451-540,AutoML-functions,0
451-540,unique-functions,0
451-540,AutoML-tools,0
91-180,commits,44
91-180,stars,2
91-180,size,6814
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
91-180,commits,52
91-180,stars,3
91-180,size,3599
91-180,AutoML-functions,11
91-180,unique-functions,1
91-180,AutoML-tools,1
181-270,commits,174
181-270,stars,0
181-270,size,86614
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
0-90,commits,2
0-90,stars,0
0-90,size,32573
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,60
0-90,stars,2
0-90,size,20067
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
451-540,commits,520
451-540,stars,9
451-540,size,24487
451-540,AutoML-functions,0
451-540,unique-functions,0
451-540,AutoML-tools,0
0-90,commits,53
0-90,stars,0
0-90,size,30377
0-90,AutoML-functions,5
0-90,unique-functions,1
0-90,AutoML-tools,1
451-540,commits,589
451-540,stars,5
451-540,size,24505
451-540,AutoML-functions,0
451-540,unique-functions,0
451-540,AutoML-tools,0
91-180,commits,26
91-180,stars,1
91-180,size,72
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
91-180,commits,1199
91-180,stars,0
91-180,size,43786
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
0-90,commits,1
0-90,stars,1
0-90,size,4
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
91-180,commits,83
91-180,stars,0
91-180,size,38412
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
91-180,commits,74
91-180,stars,0
91-180,size,50692
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
91-180,commits,63
91-180,stars,1
91-180,size,59255
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
91-180,commits,24
91-180,stars,2
91-180,size,32515
91-180,AutoML-functions,1
91-180,unique-functions,1
91-180,AutoML-tools,1
181-270,commits,31
181-270,stars,1
181-270,size,95218
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
91-180,commits,40
91-180,stars,3
91-180,size,7970
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
0-90,commits,59
0-90,stars,0
0-90,size,44108
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,6
0-90,stars,0
0-90,size,73808
0-90,AutoML-functions,8
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,30
0-90,stars,1
0-90,size,9831
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
>720,commits,1278
>720,stars,3783
>720,size,46819
>720,AutoML-functions,1
>720,unique-functions,1
>720,AutoML-tools,1
0-90,commits,4
0-90,stars,0
0-90,size,23
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
>720,commits,148
>720,stars,1
>720,size,72567
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
181-270,commits,32
181-270,stars,5
181-270,size,786
181-270,AutoML-functions,3
181-270,unique-functions,1
181-270,AutoML-tools,1
181-270,commits,7
181-270,stars,0
181-270,size,105548
181-270,AutoML-functions,0
181-270,unique-functions,0
181-270,AutoML-tools,0
>720,commits,87
>720,stars,84
>720,size,3036
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
361-450,commits,56
361-450,stars,46
361-450,size,3575
361-450,AutoML-functions,1
361-450,unique-functions,1
361-450,AutoML-tools,1
0-90,commits,3
0-90,stars,0
0-90,size,34639
0-90,AutoML-functions,1
0-90,unique-functions,1
0-90,AutoML-tools,1
0-90,commits,9
0-90,stars,0
0-90,size,62
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
0-90,commits,2
0-90,stars,0
0-90,size,7939
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
91-180,commits,47
91-180,stars,0
91-180,size,224415
91-180,AutoML-functions,0
91-180,unique-functions,0
91-180,AutoML-tools,0
>720,commits,32569
>720,stars,2920
>720,size,115016
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
>720,commits,209
>720,stars,2
>720,size,1751
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
0-90,commits,2
0-90,stars,0
0-90,size,45478
0-90,AutoML-functions,0
0-90,unique-functions,0
0-90,AutoML-tools,0
>720,commits,77
>720,stars,9
>720,size,48710
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
>720,commits,233
>720,stars,23
>720,size,89098
>720,AutoML-functions,0
>720,unique-functions,0
>720,AutoML-tools,0
361-450,commits,346
361-450,stars,0
